,Code,Description
345,10369,"Ashgabat, Turkmenistan: Ashgabat Airport"
346,10370,"Ascension, Bolivia: Ascension Airport"
347,10371,"Andros Town, The Bahamas: Fresh Creek"
348,10372,"Aspen, CO: Aspen Pitkin County Sardy Field"
349,10373,"Ashburton, New Zealand: Ashburton Airport"
350,10374,"Nashua, NH: Boire Field"
351,10375,"Ascension Island, Saint Helena, Ascension, and Tristan da Cunha: Ascension Aux Af"
352,10376,"Amami O Shima, Japan: Amami"
353,10377,"Yamoussoukro, Cote d'Ivoire: Yamoussoukro Airport"
354,10378,"Marshall, TX: Harrison County"
355,10379,"Asmara, Eritrea: Asmara International"
356,10380,"Talladega, AL: Talladega Municipal"
357,10381,"Asosa, Ethiopia: Asosa Hidase"
358,10382,"Alice Springs, Australia: Alice Springs Airport"
359,10383,"Austin, NV: Austin Airport"
360,10384,"Kayseri, Turkey: Kayseri Airport"
361,10385,"Astoria/Seaside, OR: Astoria Regional"
362,10386,"Asuncion, Paraguay: Silvio Pettirossi International"
363,10387,"Aswan, Egypt: Aswan International"
364,10388,"Ashland, WI: John F Kennedy Memorial"
365,10389,"Ashley, ND: Ashley Municipal"
366,10390,"Anta, Peru: Anta Huaraz"
367,10391,"Atbara, Sudan: Atbara Airport"
368,10392,"Arthur's Town, The Bahamas: Arthur's Town Airport"
369,10393,"Antlers, OK: Antlers Municipal"
370,10394,"Athens, Greece: Eleftherios Venizelos International"
371,10395,"Artigas, Uruguay: Artigas International"
372,10396,"Atqasuk, AK: Atqasuk Edward Burnell Sr. Memorial"
373,10397,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
374,10398,"Altamira, Brazil: Altamira Airport"
375,10399,"Namatanai, Papua New Guinea: Namatanai Airport"
376,10400,"Athens, OH: Ohio University"
377,10401,"Aitape, Papua New Guinea: Aitape Airport"
378,10402,"Amritsar, India: Amritsar International"
379,10403,"Atar, Mauritania: Atar Airport"
380,10404,"Artesia, NM: Artesia Municipal"
381,10405,"Atmautluak, AK: Atmautluak Airport"
382,10406,"Attu, AK: Casco Cove CGS"
383,10407,"Ati, Chad: Ati Airport"
384,10408,"Appleton, WI: Appleton International"
385,10409,"Watertown, SD: Watertown Regional"
386,10410,"Assiut, Egypt: Assiut Airport"
387,10411,"Aruba, Aruba: Reina Beatrix International"
388,10412,"Arauca, Colombia: Santiago Perez"
